rooms,year_built,location,building_floor_num,garage,district,leasing,balcony,size_meters,door_type,apartment_floor_num,window_type,num_windows,floor_type
3 өрөө,1989,11-р хороолол,9,Байхгүй,Сүхбаатар,Лизинггүй,2 тагттай,80.0,Бүргэд,7,Вакум,4,Паркет
2 өрөө,2010,19-р хороолол,12,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,57.46,Төмөр,6,Вакум,3,Паркет
2 өрөө,1980,Сансар,5,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,58.0,Бүргэд,4,Мод,3,Паркет
2 өрөө,2015,Бусад,11,Байхгүй,Хан-Уул,Лизинггүй,Тагтгүй,60.0,Бүргэд,4,Вакум,3,Паркет
1 өрөө,2019,"3, 4 хороолол",12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,31.0,Бүргэд,2,Вакум,2,Паркет
3 өрөө,2018,Толгойт,9,Байгаа,Сонгино Хайрхан,Лизинггүй,1 тагттай,60.0,Төмөр,8,Вакум,3,Паркет
2 өрөө,2019,Бусад,12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,46.5,Бүргэд,4,Вакум,2,Паркет
1 өрөө,2013,Офицер,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,31.0,Бүргэд,9,Вакум,1,Паркет
4 өрөө,2015,Сансар,6,Байхгүй,Баянзүрх,Хувь лизингтэй,2 тагттай,107.0,Бүргэд,5,Вакум,6,Паркет
2 өрөө,2016,21-р хороолол,3,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,40.0,Бүргэд,3,Вакум,3,Паркет
2 өрөө,1989,10-р хороолол,5,Байхгүй,Баянгол,Лизинггүй,1 тагттай,60.0,Бүргэд,5,Вакум,3,Паркет
4 өрөө,2006,13-р хороолол,5,Байгаа,Баянзүрх,Лизинггүй,3+ тагттай,107.85,Бүргэд,4,Вакум,6,Паркет
2 өрөө,2004,220 мянгат,9,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,71.87,Төмөр,3,Вакум,3,Паркет
3 өрөө,2017,13-р хороолол,16,Байхгүй,Баянзүрх,Банкны лизингтэй,1 тагттай,101.0,Мод,16,Вакум,8,Паркет
4 өрөө,2019,Бусад,14,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,111.78,Бүргэд,11,Вакум,4,Паркет
3 өрөө,2018,1-р хороолол,16,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,81.0,Бүргэд,12,Вакум,3,Паркет
3 өрөө,2013,13-р хороолол,12,Байхгүй,Баянзүрх,Лизинггүй,Тагтгүй,72.4,Төмөр,6,Вакум,5,Паркет
1 өрөө,2019,"3, 4 хороолол",9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,35.0,Бүргэд,8,Вакум,1,Паркет
3 өрөө,2016,Их Монгол хороолол,18,Байгаа,Баянзүрх,Лизинггүй,2 тагттай,74.33,Төмөр,12,Вакум,3,Паркет
3 өрөө,2015,5 шар,15,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,40.0,Бүргэд,3,Вакум,3,Паркет
2 өрөө,2015,Бусад,12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,45.52,Бүргэд,2,Вакум,2,Паркет
2 өрөө,2015,5 шар,15,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,27.0,Бүргэд,12,Вакум,2,Паркет
3 өрөө,2020,Яармаг,12,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,74.0,Бүргэд,7,Вакум,3,Паркет
2 өрөө,2011,Их Монгол хороолол,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,42.5,Бүргэд,4,Вакум,3,Паркет
2 өрөө,2020,Бусад,17,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,54.73,Бүргэд,4,Вакум,2,Паркет
3 өрөө,2015,Бусад,12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,88.4,Бүргэд,7,Вакум,3,Паркет
5+ өрөө,2013,Бусад,12,Байхгүй,Сүхбаатар,Хувь лизингтэй,1 тагттай,117.0,Төмөр,2,Вакум,6,Паркет
1 өрөө,2019,Нисэх,16,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,35.79,Төмөр,5,Вакум,3,Паркет
2 өрөө,2015,Нарны хороолол,23,Байгаа,Баянгол,Лизинггүй,1 тагттай,55.04,Төмөр,21,Вакум,2,Паркет
